Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654522856748,,0,,,
1654522856778,,,,0,
1654522856791,,,0,,
1654522856855,,154,,,
1654522856888,,,,154,
1654522856889,,,154,,
1654522856905,,,,0,
1654522856907,,0,,,
1654522856915,,,,155,
1654522856935,,155,,,
1654522856994,,,0,,
1654522857004,,,156,,
1654522857058,,,0,,
1654522857077,,0,156,,
1654522857080,,156,,,
1654522857093,,,,0,
1654522857100,,,,157,
1654522857134,0,,,,,
1654522857154,0,,,,
1654522857179,48,,,,
1654522857205,59,,,,,
1654522857750,,157,,,
1654522857799,,,157,157,
1654522857925,,158,,,
1654522857931,,,,158,
1654522858000,,,158,,
1654522858064,,,158,,
1654522858081,,158,,,
1654522858136,76,,,,,
1654522858156,81,,,,
1654522858213,,,,159,
1654522858752,,159,,,
1654522858948,,,,159,
1654522858966,,,,159,
1654522859013,,159,,,
1654522859051,,,160,,
1654522859090,,,160,,
1654522859106,,,,160,
1654522859119,,,160,,
1654522859138,76,,,,,
1654522859154,,160,,,
1654522859192,77,,,,
1654522859842,,161,,,
1654522860037,,,161,,
1654522860060,,161,,,
1654522860115,,,,161,
1654522860122,,161,,,
1654522860135,76,,,,,
1654522860150,,,,103,
1654522860157,69,,,,
1654522860185,,,,103,
1654522860549,,,104,,
1654522860579,,,105,,
1654522860759,,105,,,
1654522860786,,,,105,
1654522860795,,,105,,
1654522860929,,,,106,
1654522860937,,106,,,
1654522861010,,,106,,
1654522861084,,106,,,
1654522861097,,,,106,
1654522861118,,,107,,
1654522861140,77,,,,,
1654522861156,81,,,,
1654522861753,,108,,,
1654522861785,,,,108,
1654522861796,,,108,,
1654522861908,,,,108,
1654522861911,,108,,,
1654522861997,,,109,,
1654522862061,,,109,,
1654522862081,,109,,,
1654522862100,,,,109,
1654522862135,77,,,,,
1654522862155,86,,,,
1654522862751,,110,,,
1654522862781,,,,110,
1654522862804,,,111,,
1654522862910,,111,,111,
1654522863000,,,112,,
