Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654522856962,,,,0,
1654522856969,,0,,,
1654522856983,,,0,,
1654522857007,,284150,,,
1654522857018,,,,260875,
1654522857053,,,224718,,
1654522857116,,,361222,,
1654522857143,,257703,,,
1654522857176,,,,214537,
1654522857837,,25030,,,
1654522857855,,,27356,,
1654522857876,,,,26347,
1654522858083,,,101223,,
1654522858160,,98303,,,
1654522858189,,,98644,,
1654522858235,,62236,,,
1654522858251,,,,92408,
1654522858382,,,,22633,
1654522859016,,26414,,,
1654522859090,,,,42408,
1654522859248,,141370,,,
1654522859330,,,,89637,
1654522859353,,,49368,,
1654522859359,,,,16448,
1654522859375,,,2869,,
1654522859594,,,32748,,
1654522859736,,22960,,,
1654522860257,,50802,,,
1654522860415,,,,44152,
1654522860420,,,,103000,
1654522860426,,,,22000,
1654522860474,,77064,,,
1654522860575,,51892,,,
1654522860641,,,64594,,
1654522860785,,,345378,,
1654522860832,,,588297,,
1654522860844,,372598,,,
1654522860885,,,,263148,
1654522860899,,,362328,,
1654522861034,,,,442284,
1654522861038,,439582,,,
1654522861133,,711212,,,
1654522861178,,,556503,,
1654522861183,,,,684415,
1654522861208,,,649433,,
1654522861829,,772624,,,
1654522861844,,,785855,,
1654522861870,,,,752883,
1654522861990,,,,115966,
1654522862003,,133172,,,
1654522862031,,,119491,,
1654522862104,,,990698,,
1654522862116,,835318,,,
1654522862129,,,,738158,
1654522862840,,721874,,,
1654522862842,,,730447,,
1654522862871,,,,722605,
1654522862995,,,,836088,
1654522862999,,846559,,,
1654522863033,,,905120,,
1654522863107,,,960945,,
1654522863125,,947929,,,
1654522863128,,,,980669,
1654522863825,,732104,,,
1654522863836,,,727174,,
1654522863869,,,,767565,
1654522863987,,,,977389,
1654522864009,,1103728,,,
1654522864035,,,1148015,,
1654522864113,,,638461,,
1654522864121,,747053,,,
1654522864135,,,,791344,
1654522864825,,328263,,,
1654522864839,,,323671,,
1654522864869,,,,375717,
1654522864987,,,,541466,
1654522864997,,652389,,,
1654522865034,,,616989,,
1654522865103,,,1036528,,
1654522865119,,711861,,,
1654522865131,,,,621569,
1654522865822,,685014,,,
1654522865836,,,691420,,
1654522865868,,,,760884,
1654522865985,,,,957598,
1654522866000,,1204237,,,
1654522866031,,,1137553,,
1654522866106,,,1005270,,
1654522866113,,1099619,,,
1654522866130,,,,1018434,
1654522866830,,731144,,,
1654522866837,,,745911,,
1654522866870,,,,767359,
1654522866989,,,,945075,
1654522866997,,1003952,,,
1654522867032,,,1086912,,
1654522867100,,,1725724,,
1654522867114,,1752863,,,
1654522867127,,,,1756934,
1654522867827,,1084922,,,
1654522867839,,,1110301,,
1654522867873,,,,1017479,
1654522867986,,,,1121424,
1654522868001,,892142,,,
1654522868033,,,953226,,
1654522868102,,,772652,,
1654522868116,,884400,,,
1654522868127,,,,847390,
1654522868825,,559626,,,
1654522868839,,,560491,,
1654522868869,,,,537114,
1654522868988,,,,1516857,
1654522868998,,1232456,,,
1654522869032,,,1401502,,
1654522869111,,,1558350,,
1654522869121,,1550918,,,
1654522869146,,,,1485367,
1654522869825,,1298682,,,
1654522869839,,,1288950,,
1654522869873,,,,1342522,
1654522869986,,,,1677584,
1654522869998,,1612255,,,
1654522870031,,,1585427,,
1654522870105,,,1185472,,
1654522870114,,1281222,,,
1654522870127,,,,1256751,
1654522870826,,1532884,,,
1654522870837,,,1531725,,
1654522870869,,,,1480223,
1654522870986,,,,1577735,
1654522871009,,1233939,,,
1654522871031,,,1244000,,
1654522871100,,,1820434,,
1654522871115,,1535632,,,
1654522871131,,,,1424082,
1654522871824,,1475031,,,
1654522871835,,,1471497,,
1654522871870,,,,1509207,
1654522871986,,,,1726603,
1654522871998,,1828803,,,
1654522872032,,,1793898,,
1654522872101,,,1197869,,
1654522872117,,1372933,,,
1654522872129,,,,1470510,
1654522872824,,1559581,,,
1654522872838,,,1544858,,
1654522872870,,,,1564618,
1654522872988,,,,1267381,
1654522873003,,1320128,,,
1654522873031,,,1408440,,
1654522873100,,,1141608,,
1654522873115,,1302357,,,
1654522873127,,,,1134395,
1654522873828,,1401330,,,
1654522873838,,,1400864,,
1654522873871,,,,1370727,
1654522873993,,,,1508778,
1654522874005,,1291187,,,
