Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702039459,,0,,,
1654702039559,,,,0,
1654702039639,,,0,,
1654702039706,,92684,,,
1654702039713,,,121075,,
1654702039825,,,,96402,
1654702040094,,,,159958,
1654702040160,,,121307,,
1654702040340,,104255,,,
1654702040347,,,58304,,
1654702040419,,,,66704,
1654702040480,,76581,,,
1654702040789,,,44022,,
1654702040803,,27362,,,
1654702040831,,,,38721,
1654702041164,,113078,,,
1654702041176,,,,103927,
1654702041239,,,93675,,
1654702041289,,,47877,,
1654702041305,,,,44131,
1654702041387,,55245,,,
1654702042125,,43768,,,
1654702042192,,,47794,,
1654702042706,,,,51389,
1654702042793,,52356,,,
1654702042874,,,51340,,
1654702043000,,,34825,,
1654702043057,,,,38022,
1654702043072,,39899,,,
1654702043130,,,,20083,
1654702043328,,,66661,,
1654702043374,,75830,,,
1654702043505,,,112943,,
1654702043607,,,,107393,
1654702043704,,,95788,,
1654702043785,,146868,,,
1654702043794,,,,176618,
1654702043855,,,251344,,
1654702043889,,,,121073,
1654702044096,,128470,,,
1654702044185,,,,140651,
1654702044213,,135643,123687,,
1654702044390,,125700,,,
1654702044411,,,144010,,
1654702044464,,,,119815,
1654702044516,,155055,,,
1654702044566,,,,214000,
1654702044705,,,181588,,
1654702044742,,236942,,,
1654702044772,,,,229024,
1654702045108,,,,229776,
1654702045128,,,231865,,
1654702045163,,201665,,,
1654702045255,,,42031,,
1654702045292,,135775,,,
1654702045326,,,,114912,
1654702045691,,,216759,,
1654702045709,,201196,,,
1654702045827,,,,212868,
1654702046094,,250384,,,
1654702046112,,,234501,,
1654702046140,,,,246057,
1654702046240,,,221351,,
1654702046287,,160471,,,
1654702046301,,,,140056,
1654702046673,,,334630,,
1654702046702,,349995,,,
1654702046764,,,,407624,
1654702047011,,,514257,,
1654702047059,,531626,,,
1654702047096,,,,443096,
1654702047232,,,251628,,
1654702047264,,,,226279,
1654702047282,,177950,,,
1654702047696,,,335881,,
1654702047734,,354471,,,
1654702047788,,,,338931,
1654702048023,,,330076,,
1654702048048,,340674,,,
1654702048101,,,,308367,
1654702048242,,,311981,,
1654702048249,,315452,,,
1654702048276,,,,357485,
1654702048707,,,521868,,
1654702048718,,526434,,,
1654702048814,,,,484221,
1654702049170,,,,320661,
1654702049206,,,278799,,
1654702049277,,,387200,,
1654702049278,,287675,,,
1654702049317,,4307,,,
1654702049347,,,,174235,
1654702049686,,,299860,,
1654702049720,,320550,,,
1654702049775,,,,360231,
1654702050016,,,640996,,
1654702050111,,573560,,,
1654702050131,,,,556997,
1654702050269,,155569,,,
1654702050272,,,173264,,
1654702050301,,,,170035,
1654702050725,,,232147,,
1654702050751,,231609,,,
1654702050799,,,,215578,
1654702051036,,,432635,,
1654702051103,,,,440144,
1654702051125,,369508,,,
1654702051233,,,195565,,
1654702051269,,,,198509,
1654702051301,,173765,,,
