Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702582184,,,,0,
1654702582216,,0,,,
1654702582249,,,0,,
1654702582257,,69,,,
1654702582361,,,,69,
1654702582385,,,69,,
1654702582481,,,0,,
1654702582505,,,,0,
1654702582515,,,70,,
1654702582520,,0,,,
1654702582564,,70,,,
1654702582575,,,,70,
1654702582645,,,0,,
1654702582657,,0,,,
1654702582670,,71,,,
1654702582694,,,71,,
1654702582699,,,,0,
1654702582717,,,,71,
1654702582777,0,,,,,
1654702582802,0,,,,
1654702582809,72,,,,,
1654702582845,18,,,,
1654702583190,,,,72,
1654702583240,,72,,,
1654702583364,,,72,,
1654702583537,,,73,,
1654702583598,,,,73,
1654702583602,,73,,,
1654702583679,,,73,,
1654702583726,,73,,,
1654702583728,,,,73,
1654702583780,28,,,,,
1654702583810,18,,,,
1654702584504,,,,74,
1654702584558,,74,,,
1654702584565,,,,74,
1654702584659,,,74,,
1654702584695,,74,,,
1654702584719,,,74,,
1654702584779,34,,,,,
1654702584812,15,,,,
1654702584919,,,,39,
1654702584992,,,39,,
1654702585224,,39,,,
1654702585326,,39,,,
1654702585331,,,39,,
1654702585608,,,,39,
1654702585683,,,39,,
1654702585778,34,,,,,
1654702585803,27,,,,
1654702585854,,,40,,
1654702585891,,,,40,
1654702585892,,40,,,
1654702586029,,,,40,
1654702586339,,,41,,
1654702586382,,41,,,
1654702586428,,,,41,
1654702586523,,42,,,
1654702586580,,,,42,
1654702586594,,,42,,
1654702586628,,42,,,
1654702586733,,,42,,
1654702586735,,,,42,
1654702586791,34,,,,,
1654702586809,18,,,,
1654702586911,,43,,,
1654702587278,,44,,,
1654702587319,,,,44,
1654702587346,,,44,,
1654702587560,,,44,,
1654702587570,,,,44,
1654702587580,,44,,,
1654702587662,,,45,,
1654702587678,,45,,,
1654702587791,34,,,,,
1654702587798,,,,45,
1654702587804,19,,,,
1654702588194,,,,46,
1654702588223,,46,,,
1654702588261,,,46,,
1654702588490,,,47,,
1654702588558,,,,47,
1654702588571,,47,,,
1654702588714,,,47,,
1654702588724,,47,,,
1654702588772,,,,47,
1654702588779,34,,,,,
1654702588819,23,,,,
1654702589199,,,,48,
1654702589222,,48,,,
1654702589255,,,48,,
1654702589513,,,,49,
1654702589534,,,49,,
1654702589536,,49,,,
1654702589739,,,50,,
1654702589770,,50,,50,
1654702589779,34,,,,,
1654702589805,25,,,,
1654702590191,,,,51,
1654702590234,,51,,,
1654702590268,,,51,,
1654702590510,,,52,,
1654702590512,,,,52,
1654702590525,,52,,,
1654702590732,,52,,,
1654702590737,,,,52,
1654702590745,,,53,,
1654702590778,34,,,,,
1654702590803,29,,,,
1654702591203,,,,53,
1654702591241,,54,,,
1654702591268,,,54,,
1654702591486,,,54,,
1654702591514,,,,55,
1654702591526,,55,,,
1654702591694,,,55,,
1654702591725,,,,55,
1654702591735,,55,,,
1654702591781,34,,,,,
1654702591803,34,,,,
1654702592191,,,,56,
1654702592224,,56,,,
1654702592255,,,56,,
1654702592528,,,,58,
1654702592529,,,58,,
1654702592543,,58,,,
1654702592666,,58,,,
1654702592730,,,58,,
1654702592735,,,,58,
1654702592778,34,,,,,
1654702592804,14,,,,
1654702593202,,,,59,
1654702593264,,59,,,
1654702593284,,,60,,
1654702593498,,,60,,
1654702593511,,,,60,
1654702593546,,60,,,
1654702593780,35,,,,,
1654702593797,,,61,,
1654702593801,,61,,,
1654702593808,18,,,,
1654702593845,,,,61,
1654702594201,,,,62,
1654702594249,,62,,,
1654702594269,,,62,,
1654702594495,,,63,,
1654702594513,,,,63,
1654702594533,,63,,,
1654702594673,,,64,,
1654702594681,,64,,,
1654702594760,,,,64,
1654702594781,35,,,,,
1654702594811,22,,,,
