Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702327635,,0,0,,
1654702327676,,,,0,
1654702327764,,,96627,,
1654702327842,,,,125951,
1654702327871,,119415,,,
1654702328258,,102819,,,
1654702328334,,,,90170,
1654702328366,,,98573,,
1654702328492,,75944,,,
1654702328498,,,,95579,
1654702328520,,,110130,,
1654702328752,,,28918,,
1654702328833,,45188,,,
1654702328848,,,,50911,
1654702329237,,,,86685,
1654702329282,,85300,80645,,
1654702329451,,,87467,,
1654702329461,,76780,,,
1654702329471,,,,66553,
1654702329890,,50951,,,
1654702329899,,,49102,,
1654702330008,,,,66791,
1654702330213,,,,72955,
1654702330230,,91414,,,
1654702330262,,49375,,,
1654702330275,,,87096,,
1654702330334,,,,51025,
1654702330403,,,28147,,
1654702331375,,,,50861,
1654702331437,,50400,,,
1654702331618,,,49114,,
1654702332053,,,36770,,
1654702332149,,,,40291,
1654702332293,,40314,,,
1654702332325,,,,42360,
1654702332443,,,40582,,
1654702332554,,,,45960,
1654702332668,,52278,,,
1654702332837,,55800,,,
1654702332997,,,56971,,
1654702333150,,,6777,,
1654702333169,,,0,,
1654702333662,,52670,,,
1654702333754,,,,56588,
1654702333774,,,74444,,
1654702333973,,,,63949,
1654702333984,,77906,,,
1654702333998,,,88236,,
1654702334108,,119419,,,
1654702334120,,,,139417,
1654702334234,,,97351,,
1654702334371,,,,140357,
1654702334388,,132067,,,
1654702334402,,,160893,,
1654702334495,,,,110569,
1654702334551,,,199409,,
1654702334575,,168801,,,
1654702334689,,,,164723,
1654702334811,,,121830,,
1654702334845,,113900,,,
1654702334997,,,,131324,
1654702335048,,,154097,,
1654702335072,,187420,,,
1654702335074,,55666,,,
1654702335091,,,,210202,
1654702335228,,,,83335,
1654702335347,,,131645,,
1654702335557,,156082,,,
1654702335611,,,185924,,
1654702335623,,,,178443,
1654702335783,,126371,,,
1654702335809,,,,125129,
1654702335842,,,138922,,
1654702335861,,135088,,,
1654702335908,,,,146500,
1654702335999,,235824,,,
1654702336112,,150877,,,
1654702336193,,,,202748,
1654702336257,,,162298,,
1654702336279,,138873,,,
1654702336327,,,122471,,
1654702336366,,,,72144,
1654702336706,,,329068,,
1654702336776,,305845,,,
1654702336810,,,,348184,
1654702337081,,417980,,,
1654702337139,,,387879,,
1654702337150,,,,406644,
1654702337184,,226137,,,
1654702337219,,,269100,,
1654702337336,,,,299516,
1654702337693,,,499829,,
1654702337749,,,,562432,
1654702337761,,486230,,,
1654702338068,,627908,,,
1654702338148,,,,617682,
1654702338172,,637447,,,
1654702338178,,,598743,,
1654702338204,,,42777,,
1654702338368,,,,301675,
1654702338707,,,466544,,
1654702338750,,,,525026,
1654702338758,,435046,,,
1654702339073,,561789,,,
1654702339140,,,496101,,
1654702339154,,,,486146,
1654702339235,,181469,,,
1654702339287,,,150939,,
1654702339352,,,,171884,
1654702339699,,,319434,,
1654702339773,,313133,,,
1654702339785,,,,333618,
1654702340178,,312101,,,
1654702340214,,,,296135,
1654702340291,,,260956,,
1654702340306,,68593,,,
1654702340370,,,158912,,
1654702340399,,,,140151,
1654702340773,,,203133,,
1654702340847,,177175,,,
