Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702327636,,,0,,
1654702327637,,0,,,
1654702327676,,,,0,
1654702327765,,,152460,,
1654702327842,,,,133849,
1654702327872,,128852,,,
1654702328313,,82052,,,
1654702328335,,,,90375,
1654702328366,,,93051,,
1654702328493,,115344,,,
1654702328507,,,,92549,
1654702328520,,,89110,,
1654702328752,,,38547,,
1654702328834,,46382,,,
1654702328849,,,,44400,
1654702329237,,,,71935,
1654702329282,,66592,,,
1654702329283,,,65832,,
1654702329452,,,61714,,
1654702329461,,60446,,,
1654702329472,,,,54808,
1654702329891,,44732,,,
1654702329900,,,43846,,
1654702330009,,,,44927,
1654702330213,,,,102666,
1654702330231,,85784,,,
1654702330263,,67593,,,
1654702330276,,,83317,,
1654702330335,,,,72368,
1654702330404,,,32418,,
1654702331376,,,,32757,
1654702331437,,33838,,,
1654702331618,,,34621,,
1654702332054,,,36680,,
1654702332149,,,,37985,
1654702332294,,41407,,,
1654702332325,,,,50443,
1654702332443,,,42161,,
1654702332579,,,,35602,
1654702332668,,35522,,,
1654702332837,,40479,,,
1654702332998,,,43376,,
1654702333150,,,5421,,
1654702333169,,,0,,
1654702333663,,42584,,,
1654702333754,,,,45242,
1654702333774,,,58879,,
1654702333974,,,,67186,
1654702333985,,75322,,,
1654702333998,,,76816,,
1654702334109,,94806,,,
1654702334120,,,,102643,
1654702334235,,,97851,,
1654702334371,,,,134326,
1654702334388,,127620,,,
1654702334403,,,140863,,
1654702334496,,,,191240,
1654702334552,,,267020,,
1654702334576,,257675,,,
1654702334689,,,,207010,
1654702334811,,,223880,,
1654702334845,,197728,,,
1654702334998,,,,259744,
1654702335048,,,234822,,
1654702335072,,258779,,,
1654702335075,,2600500,,,
1654702335091,,,,243462,
1654702335229,,,,184376,
1654702335348,,,202160,,
1654702335557,,227039,,,
1654702335612,,,279518,,
1654702335625,,,,260994,
1654702335784,,260455,,,
1654702335810,,,,251064,
1654702335843,,,267369,,
1654702335862,,220974,,,
1654702335909,,,,275595,
1654702335999,,393503,,,
1654702336113,,282307,,,
1654702336194,,,,332161,
1654702336257,,,281122,,
1654702336279,,243680,,,
1654702336327,,,282457,,
1654702336367,,,,140208,
1654702336707,,,742757,,
1654702336776,,664323,,,
1654702336811,,,,733191,
1654702337082,,762418,,,
1654702337140,,,810517,,
1654702337150,,,,922713,
1654702337184,,995431,,,
1654702337220,,,767312,,
1654702337337,,,,981433,
1654702337693,,,1231801,,
1654702337749,,,,1257864,
1654702337762,,1186050,,,
