PING 10.130.0.226 (10.130.0.226) 56(84) bytes of data.
64 bytes from 10.130.0.226: icmp_seq=82 ttl=64 time=0.529 ms
64 bytes from 10.130.0.226: icmp_seq=83 ttl=64 time=0.592 ms
64 bytes from 10.130.0.226: icmp_seq=84 ttl=64 time=0.512 ms
64 bytes from 10.130.0.226: icmp_seq=85 ttl=64 time=0.280 ms
64 bytes from 10.130.0.226: icmp_seq=86 ttl=64 time=0.522 ms
64 bytes from 10.130.0.226: icmp_seq=87 ttl=64 time=0.577 ms
64 bytes from 10.130.0.226: icmp_seq=88 ttl=64 time=0.470 ms
64 bytes from 10.130.0.226: icmp_seq=89 ttl=64 time=0.451 ms
64 bytes from 10.130.0.226: icmp_seq=90 ttl=64 time=0.429 ms
64 bytes from 10.130.0.226: icmp_seq=91 ttl=64 time=0.606 ms
