PING 10.130.0.226 (10.130.0.226) 56(84) bytes of data.
64 bytes from 10.130.0.226: icmp_seq=1 ttl=64 time=1.80 ms
64 bytes from 10.130.0.226: icmp_seq=2 ttl=64 time=0.580 ms
64 bytes from 10.130.0.226: icmp_seq=3 ttl=64 time=0.532 ms
64 bytes from 10.130.0.226: icmp_seq=4 ttl=64 time=0.511 ms
64 bytes from 10.130.0.226: icmp_seq=5 ttl=64 time=0.478 ms
64 bytes from 10.130.0.226: icmp_seq=6 ttl=64 time=0.286 ms
64 bytes from 10.130.0.226: icmp_seq=7 ttl=64 time=0.482 ms
64 bytes from 10.130.0.226: icmp_seq=8 ttl=64 time=0.548 ms
64 bytes from 10.130.0.226: icmp_seq=9 ttl=64 time=0.394 ms
64 bytes from 10.130.0.226: icmp_seq=10 ttl=64 time=0.452 ms
64 bytes from 10.130.0.226: icmp_seq=11 ttl=64 time=0.522 ms
64 bytes from 10.130.0.226: icmp_seq=12 ttl=64 time=0.573 ms
64 bytes from 10.130.0.226: icmp_seq=13 ttl=64 time=0.561 ms
64 bytes from 10.130.0.226: icmp_seq=14 ttl=64 time=0.465 ms
64 bytes from 10.130.0.226: icmp_seq=15 ttl=64 time=0.395 ms
64 bytes from 10.130.0.226: icmp_seq=16 ttl=64 time=0.527 ms
64 bytes from 10.130.0.226: icmp_seq=17 ttl=64 time=0.472 ms
64 bytes from 10.130.0.226: icmp_seq=18 ttl=64 time=0.476 ms
64 bytes from 10.130.0.226: icmp_seq=19 ttl=64 time=0.536 ms
64 bytes from 10.130.0.226: icmp_seq=20 ttl=64 time=0.525 ms
64 bytes from 10.130.0.226: icmp_seq=21 ttl=64 time=0.538 ms
64 bytes from 10.130.0.226: icmp_seq=22 ttl=64 time=0.479 ms
64 bytes from 10.130.0.226: icmp_seq=23 ttl=64 time=0.597 ms
64 bytes from 10.130.0.226: icmp_seq=24 ttl=64 time=0.486 ms
64 bytes from 10.130.0.226: icmp_seq=25 ttl=64 time=0.485 ms
64 bytes from 10.130.0.226: icmp_seq=26 ttl=64 time=0.384 ms
64 bytes from 10.130.0.226: icmp_seq=27 ttl=64 time=0.495 ms
64 bytes from 10.130.0.226: icmp_seq=28 ttl=64 time=0.467 ms
64 bytes from 10.130.0.226: icmp_seq=29 ttl=64 time=0.322 ms
64 bytes from 10.130.0.226: icmp_seq=30 ttl=64 time=0.512 ms
64 bytes from 10.130.0.226: icmp_seq=31 ttl=64 time=0.453 ms
64 bytes from 10.130.0.226: icmp_seq=32 ttl=64 time=0.526 ms
64 bytes from 10.130.0.226: icmp_seq=33 ttl=64 time=0.518 ms
64 bytes from 10.130.0.226: icmp_seq=34 ttl=64 time=0.495 ms
64 bytes from 10.130.0.226: icmp_seq=35 ttl=64 time=0.622 ms
64 bytes from 10.130.0.226: icmp_seq=36 ttl=64 time=0.547 ms
64 bytes from 10.130.0.226: icmp_seq=37 ttl=64 time=0.545 ms
64 bytes from 10.130.0.226: icmp_seq=38 ttl=64 time=0.501 ms
64 bytes from 10.130.0.226: icmp_seq=39 ttl=64 time=0.484 ms
64 bytes from 10.130.0.226: icmp_seq=40 ttl=64 time=0.590 ms
64 bytes from 10.130.0.226: icmp_seq=41 ttl=64 time=0.538 ms
64 bytes from 10.130.0.226: icmp_seq=42 ttl=64 time=0.580 ms
64 bytes from 10.130.0.226: icmp_seq=43 ttl=64 time=0.554 ms
64 bytes from 10.130.0.226: icmp_seq=44 ttl=64 time=0.539 ms
64 bytes from 10.130.0.226: icmp_seq=45 ttl=64 time=0.505 ms
64 bytes from 10.130.0.226: icmp_seq=46 ttl=64 time=0.558 ms
64 bytes from 10.130.0.226: icmp_seq=47 ttl=64 time=0.441 ms
64 bytes from 10.130.0.226: icmp_seq=48 ttl=64 time=0.463 ms
64 bytes from 10.130.0.226: icmp_seq=49 ttl=64 time=0.346 ms
64 bytes from 10.130.0.226: icmp_seq=50 ttl=64 time=0.396 ms
64 bytes from 10.130.0.226: icmp_seq=51 ttl=64 time=0.485 ms
64 bytes from 10.130.0.226: icmp_seq=52 ttl=64 time=0.314 ms
64 bytes from 10.130.0.226: icmp_seq=53 ttl=64 time=0.470 ms
64 bytes from 10.130.0.226: icmp_seq=54 ttl=64 time=0.513 ms
64 bytes from 10.130.0.226: icmp_seq=55 ttl=64 time=0.508 ms
64 bytes from 10.130.0.226: icmp_seq=56 ttl=64 time=0.279 ms
64 bytes from 10.130.0.226: icmp_seq=57 ttl=64 time=0.303 ms
64 bytes from 10.130.0.226: icmp_seq=58 ttl=64 time=0.278 ms
64 bytes from 10.130.0.226: icmp_seq=59 ttl=64 time=0.436 ms
64 bytes from 10.130.0.226: icmp_seq=60 ttl=64 time=0.483 ms
64 bytes from 10.130.0.226: icmp_seq=61 ttl=64 time=0.293 ms
64 bytes from 10.130.0.226: icmp_seq=62 ttl=64 time=0.326 ms
64 bytes from 10.130.0.226: icmp_seq=63 ttl=64 time=0.300 ms
64 bytes from 10.130.0.226: icmp_seq=64 ttl=64 time=0.282 ms
64 bytes from 10.130.0.226: icmp_seq=65 ttl=64 time=0.283 ms
64 bytes from 10.130.0.226: icmp_seq=66 ttl=64 time=0.280 ms
64 bytes from 10.130.0.226: icmp_seq=67 ttl=64 time=0.287 ms
64 bytes from 10.130.0.226: icmp_seq=68 ttl=64 time=0.428 ms
64 bytes from 10.130.0.226: icmp_seq=69 ttl=64 time=0.467 ms
64 bytes from 10.130.0.226: icmp_seq=70 ttl=64 time=0.489 ms
64 bytes from 10.130.0.226: icmp_seq=71 ttl=64 time=0.506 ms
64 bytes from 10.130.0.226: icmp_seq=72 ttl=64 time=0.798 ms
64 bytes from 10.130.0.226: icmp_seq=73 ttl=64 time=0.377 ms
64 bytes from 10.130.0.226: icmp_seq=74 ttl=64 time=0.659 ms
64 bytes from 10.130.0.226: icmp_seq=75 ttl=64 time=0.470 ms
64 bytes from 10.130.0.226: icmp_seq=76 ttl=64 time=0.514 ms
64 bytes from 10.130.0.226: icmp_seq=77 ttl=64 time=0.549 ms
64 bytes from 10.130.0.226: icmp_seq=78 ttl=64 time=0.568 ms
64 bytes from 10.130.0.226: icmp_seq=79 ttl=64 time=0.490 ms
64 bytes from 10.130.0.226: icmp_seq=80 ttl=64 time=0.619 ms
64 bytes from 10.130.0.226: icmp_seq=81 ttl=64 time=0.510 ms
64 bytes from 10.130.0.226: icmp_seq=82 ttl=64 time=0.518 ms
64 bytes from 10.130.0.226: icmp_seq=83 ttl=64 time=0.425 ms
64 bytes from 10.130.0.226: icmp_seq=84 ttl=64 time=0.436 ms
