PING 10.130.0.226 (10.130.0.226) 56(84) bytes of data.
64 bytes from 10.130.0.226: icmp_seq=1 ttl=64 time=1.51 ms
64 bytes from 10.130.0.226: icmp_seq=2 ttl=64 time=0.391 ms
64 bytes from 10.130.0.226: icmp_seq=3 ttl=64 time=0.511 ms
64 bytes from 10.130.0.226: icmp_seq=4 ttl=64 time=0.564 ms
64 bytes from 10.130.0.226: icmp_seq=5 ttl=64 time=0.449 ms
64 bytes from 10.130.0.226: icmp_seq=6 ttl=64 time=0.486 ms
64 bytes from 10.130.0.226: icmp_seq=7 ttl=64 time=0.717 ms
64 bytes from 10.130.0.226: icmp_seq=8 ttl=64 time=0.527 ms
64 bytes from 10.130.0.226: icmp_seq=9 ttl=64 time=0.523 ms
64 bytes from 10.130.0.226: icmp_seq=10 ttl=64 time=0.481 ms
64 bytes from 10.130.0.226: icmp_seq=11 ttl=64 time=0.588 ms
64 bytes from 10.130.0.226: icmp_seq=12 ttl=64 time=0.483 ms
64 bytes from 10.130.0.226: icmp_seq=13 ttl=64 time=0.446 ms
64 bytes from 10.130.0.226: icmp_seq=14 ttl=64 time=0.439 ms
64 bytes from 10.130.0.226: icmp_seq=15 ttl=64 time=0.507 ms
64 bytes from 10.130.0.226: icmp_seq=16 ttl=64 time=0.478 ms
64 bytes from 10.130.0.226: icmp_seq=17 ttl=64 time=0.568 ms
64 bytes from 10.130.0.226: icmp_seq=18 ttl=64 time=0.492 ms
64 bytes from 10.130.0.226: icmp_seq=19 ttl=64 time=0.395 ms
64 bytes from 10.130.0.226: icmp_seq=20 ttl=64 time=0.471 ms
64 bytes from 10.130.0.226: icmp_seq=21 ttl=64 time=0.571 ms
64 bytes from 10.130.0.226: icmp_seq=22 ttl=64 time=0.534 ms
64 bytes from 10.130.0.226: icmp_seq=23 ttl=64 time=0.502 ms
64 bytes from 10.130.0.226: icmp_seq=24 ttl=64 time=0.657 ms
64 bytes from 10.130.0.226: icmp_seq=25 ttl=64 time=0.642 ms
64 bytes from 10.130.0.226: icmp_seq=26 ttl=64 time=0.459 ms
64 bytes from 10.130.0.226: icmp_seq=27 ttl=64 time=0.539 ms
64 bytes from 10.130.0.226: icmp_seq=28 ttl=64 time=0.548 ms
64 bytes from 10.130.0.226: icmp_seq=29 ttl=64 time=0.445 ms
64 bytes from 10.130.0.226: icmp_seq=30 ttl=64 time=0.451 ms
64 bytes from 10.130.0.226: icmp_seq=31 ttl=64 time=0.690 ms
64 bytes from 10.130.0.226: icmp_seq=32 ttl=64 time=0.462 ms
64 bytes from 10.130.0.226: icmp_seq=33 ttl=64 time=0.528 ms
64 bytes from 10.130.0.226: icmp_seq=34 ttl=64 time=0.487 ms
64 bytes from 10.130.0.226: icmp_seq=35 ttl=64 time=0.608 ms
64 bytes from 10.130.0.226: icmp_seq=36 ttl=64 time=0.548 ms
64 bytes from 10.130.0.226: icmp_seq=37 ttl=64 time=0.650 ms
64 bytes from 10.130.0.226: icmp_seq=38 ttl=64 time=0.471 ms
64 bytes from 10.130.0.226: icmp_seq=39 ttl=64 time=0.503 ms
64 bytes from 10.130.0.226: icmp_seq=40 ttl=64 time=0.395 ms
64 bytes from 10.130.0.226: icmp_seq=41 ttl=64 time=0.552 ms
64 bytes from 10.130.0.226: icmp_seq=42 ttl=64 time=0.398 ms
64 bytes from 10.130.0.226: icmp_seq=43 ttl=64 time=0.460 ms
64 bytes from 10.130.0.226: icmp_seq=44 ttl=64 time=0.571 ms
64 bytes from 10.130.0.226: icmp_seq=45 ttl=64 time=0.586 ms
64 bytes from 10.130.0.226: icmp_seq=46 ttl=64 time=0.516 ms
64 bytes from 10.130.0.226: icmp_seq=47 ttl=64 time=0.430 ms
64 bytes from 10.130.0.226: icmp_seq=48 ttl=64 time=0.430 ms
64 bytes from 10.130.0.226: icmp_seq=49 ttl=64 time=0.541 ms
64 bytes from 10.130.0.226: icmp_seq=50 ttl=64 time=0.534 ms
64 bytes from 10.130.0.226: icmp_seq=51 ttl=64 time=0.505 ms
64 bytes from 10.130.0.226: icmp_seq=52 ttl=64 time=0.506 ms
64 bytes from 10.130.0.226: icmp_seq=53 ttl=64 time=0.449 ms
64 bytes from 10.130.0.226: icmp_seq=54 ttl=64 time=0.558 ms
64 bytes from 10.130.0.226: icmp_seq=55 ttl=64 time=0.551 ms
64 bytes from 10.130.0.226: icmp_seq=56 ttl=64 time=0.328 ms
64 bytes from 10.130.0.226: icmp_seq=57 ttl=64 time=0.474 ms
64 bytes from 10.130.0.226: icmp_seq=58 ttl=64 time=0.276 ms
64 bytes from 10.130.0.226: icmp_seq=59 ttl=64 time=0.553 ms
64 bytes from 10.130.0.226: icmp_seq=60 ttl=64 time=0.294 ms
64 bytes from 10.130.0.226: icmp_seq=61 ttl=64 time=0.313 ms
64 bytes from 10.130.0.226: icmp_seq=62 ttl=64 time=0.385 ms
64 bytes from 10.130.0.226: icmp_seq=63 ttl=64 time=0.306 ms
64 bytes from 10.130.0.226: icmp_seq=64 ttl=64 time=0.374 ms
64 bytes from 10.130.0.226: icmp_seq=65 ttl=64 time=0.370 ms
64 bytes from 10.130.0.226: icmp_seq=66 ttl=64 time=0.338 ms
64 bytes from 10.130.0.226: icmp_seq=67 ttl=64 time=0.404 ms
64 bytes from 10.130.0.226: icmp_seq=68 ttl=64 time=0.314 ms
64 bytes from 10.130.0.226: icmp_seq=69 ttl=64 time=0.317 ms
64 bytes from 10.130.0.226: icmp_seq=70 ttl=64 time=2.52 ms
64 bytes from 10.130.0.226: icmp_seq=71 ttl=64 time=0.285 ms
64 bytes from 10.130.0.226: icmp_seq=72 ttl=64 time=0.525 ms
64 bytes from 10.130.0.226: icmp_seq=73 ttl=64 time=0.241 ms
64 bytes from 10.130.0.226: icmp_seq=74 ttl=64 time=0.307 ms
64 bytes from 10.130.0.226: icmp_seq=75 ttl=64 time=0.259 ms
64 bytes from 10.130.0.226: icmp_seq=76 ttl=64 time=0.245 ms
64 bytes from 10.130.0.226: icmp_seq=77 ttl=64 time=0.250 ms
64 bytes from 10.130.0.226: icmp_seq=78 ttl=64 time=0.273 ms
64 bytes from 10.130.0.226: icmp_seq=79 ttl=64 time=0.302 ms
64 bytes from 10.130.0.226: icmp_seq=80 ttl=64 time=0.257 ms
64 bytes from 10.130.0.226: icmp_seq=81 ttl=64 time=0.569 ms
64 bytes from 10.130.0.226: icmp_seq=82 ttl=64 time=0.258 ms
64 bytes from 10.130.0.226: icmp_seq=83 ttl=64 time=0.387 ms
64 bytes from 10.130.0.226: icmp_seq=84 ttl=64 time=0.291 ms
